	34	0	32	49	51	18	2	-1	3
	33	33	65	49	1	0	2	-1	2
	0	66	104	33	-1	-1	1	-1	1
	17	105	222	-1	-1	-1	1	-1	1
	1	223	274	33	-1	-1	1	-1	1
	100	275	580	66	85	84	3	-1	9
	50	581	658	66	49	3	3	-1	6
	49	659	757	50	34	33	3	-1	5
	51	758	843	34	36	35	2	-1	2
	3	844	903	50	-1	-1	1	-1	1
	18	904	1086	34	-1	-1	1	-1	1
	36	1087	1188	51	-1	-1	1	-1	1
	35	1189	1218	51	-1	-1	1	-1	1
	85	1219	1356	100	69	37	3	-1	6
	84	1357	1433	100	68	2	2	-1	3
	68	1434	1440	84	21	4	2	-1	2
	4	1441	1737	68	-1	-1	1	-1	1
	21	1738	2045	68	-1	-1	1	-1	1
	2	2046	2158	84	-1	-1	1	-1	1
	52	2159	2198	-1	19	20	2	-1	2
	19	2199	2292	52	-1	-1	1	-1	1
	20	2293	2330	52	-1	-1	1	-1	1
	66	2331	2572	101	50	100	4	-1	15
	69	2573	2775	85	70	53	3	-1	5
	102	2776	2856	101	86	5	2	-1	10
	70	2857	2932	69	38	151	3	-1	4
	53	2933	2967	69	-1	-1	1	-1	1
	37	2968	3013	85	-1	-1	1	-1	1
	86	3014	3116	102	54	22	2	-1	9
	54	3117	3127	86	183	23	2	-1	8
	183	3128	3187	54	167	6	2	-1	7
	151	3188	3245	70	9	72	2	-1	2
	38	3246	3353	70	39	8	2	-1	2
	39	3354	3618	38	-1	-1	1	-1	1
	8	3619	3707	38	-1	-1	1	-1	1
	23	3708	3723	54	-1	-1	1	-1	1
	5	3724	3834	102	-1	-1	1	-1	1
	22	3835	3847	86	-1	-1	1	-1	1
	215	3848	3860	231	199	71	4	-1	27
	199	3861	3889	215	101	55	4	-1	26
	101	3890	3976	199	66	102	4	-1	25
	167	3977	3985	183	135	40	2	-1	6
	135	3986	4029	167	137	7	2	-1	5
	137	4030	4124	135	105	89	2	-1	4
	9	4125	4256	151	-1	-1	1	-1	1
	119	4257	4387	231	24	87	2	-1	2
	72	4388	4471	151	-1	-1	1	-1	1
	24	4472	4521	119	-1	-1	1	-1	1
	40	4522	4583	167	-1	-1	1	-1	1
	6	4584	4707	183	-1	-1	1	-1	1
	87	4708	4715	119	-1	-1	1	-1	1
	71	4716	4781	215	-1	-1	1	-1	1
	55	4782	4789	199	-1	-1	1	-1	1
	7	4790	4950	135	-1	-1	1	-1	1
	231	4951	5076	153	215	119	4	-1	29
	105	5077	5173	137	122	57	2	-1	3
	122	5174	5239	105	91	42	2	-1	2
	103	5240	5357	121	-1	-1	1	-1	1
	88	5358	5387	121	-1	-1	1	-1	1
	89	5388	5412	137	-1	-1	1	-1	1
	57	5413	5441	105	-1	-1	1	-1	1
	41	5442	5557	153	-1	-1	1	-1	1
	186	5558	5559	202	153	106	4	-1	31
	153	5560	5618	186	231	41	4	-1	30
	121	5619	5753	170	88	103	2	-1	2
	138	5754	5805	154	56	73	2	-1	2
	56	5806	5969	138	-1	-1	1	-1	1
	91	5970	6084	122	-1	-1	1	-1	1
	25	6085	6287	170	-1	-1	1	-1	1
	73	6288	6358	138	-1	-1	1	-1	1
	106	6359	6367	186	-1	-1	1	-1	1
	58	6368	6391	202	-1	-1	1	-1	1
	42	6392	6505	122	-1	-1	1	-1	1
	26	6506	6610	154	-1	-1	1	-1	1
	139	6611	6640	155	170	154	3	-1	6
	154	6641	6701	139	138	26	2	-1	3
	170	6702	6728	139	121	25	2	-1	3
	11	6729	6892	123	-1	-1	1	-1	1
	10	6893	7023	123	-1	-1	1	-1	1
	74	7024	7052	107	-1	-1	1	-1	1
	75	7053	7109	155	-1	-1	1	-1	1
	27	7110	7121	107	-1	-1	1	-1	1
	202	7122	7246	172	186	58	4	-1	32
	140	7247	7308	156	124	90	3	-1	17
	124	7309	7360	140	108	78	3	-1	16
	108	7361	7378	124	92	43	3	-1	14
	92	7379	7431	108	77	28	3	-1	13
	77	7432	7578	92	76	45	3	-1	12
	60	7579	7590	76	155	44	3	-1	8
	155	7591	7703	60	139	75	3	-1	7
	78	7704	7831	124	62	30	2	-1	2
	107	7832	7910	76	27	74	2	-1	2
	90	7911	8016	140	-1	-1	1	-1	1
	43	8017	8158	108	-1	-1	1	-1	1
	59	8159	8241	156	-1	-1	1	-1	1
	44	8242	8329	60	-1	-1	1	-1	1
	28	8330	8353	92	-1	-1	1	-1	1
	12	8354	8440	172	-1	-1	1	-1	1
	109	8441	8563	125	172	61	4	-1	36
	172	8564	8577	109	202	12	4	-1	33
	93	8578	8580	125	156	29	3	-1	19
	156	8581	8705	93	140	59	3	-1	18
	76	8706	8839	77	60	107	3	-1	10
	61	8840	8844	109	123	13	2	-1	3
	123	8845	8959	61	11	10	2	-1	2
	45	8960	8974	77	46	15	2	-1	2
	15	8975	9114	45	-1	-1	1	-1	1
	46	9115	9309	45	-1	-1	1	-1	1
	29	9310	9358	93	-1	-1	1	-1	1
	13	9359	9447	61	-1	-1	1	-1	1
	94	9448	9489	-1	125	14	4	-1	56
	125	9490	9501	94	109	93	4	-1	55
	62	9502	9549	78	-1	-1	1	-1	1
	30	9550	9568	78	-1	-1	1	-1	1
	14	9569	9580	94	-1	-1	1	-1	1
